arma_dags,midgildi,medaltal,neysluverdsvisitala,year,tax1,tax2,tax3,kr1,kr2,pers_afsl,lif_sjod,vr,skattleysismork,skattur,utborgad,utborgad_fast
1990-01-01,75000,84847.46176381453,139.3,1990,0.39790000000000003,0.39790000000000003,0.39790000000000003,0,0,21482,0,0.01,53988.43930635838,8360.500000000004,65889.5,473.0043072505384
1990-02-01,78200,86989.33839526118,141.5,1990,0.39790000000000003,0.39790000000000003,0.39790000000000003,0,0,21482,0,0.01,53988.43930635838,9633.780000000002,67784.22,479.04042402826855
1990-03-01,79500,89152.37602918186,142.7,1990,0.39790000000000003,0.39790000000000003,0.39790000000000003,0,0,21482,0,0.01,53988.43930635838,10151.050000000003,68553.95,480.406096706377
1990-04-01,80135,88920.15493094729,143.1,1990,0.39790000000000003,0.39790000000000003,0.39790000000000003,0,0,21482,0,0.01,53988.43930635838,10403.716500000002,68929.93349999998,481.6906603773584
1990-05-01,81200,93396.89371158392,144.4,1990,0.39790000000000003,0.39790000000000003,0.39790000000000003,0,0,21482,0,0.01,53988.43930635838,10827.480000000003,69560.51999999999,481.72105263157886
1990-06-01,80300,89966.2914222874,145.4,1990,0.39790000000000003,0.39790000000000003,0.39790000000000003,0,0,21482,0,0.01,53988.43930635838,10469.370000000003,69027.63,474.742984869326
1990-07-01,80400,90937.64367149759,146.4,1990,0.39790000000000003,0.39790000000000003,0.39790000000000003,0,0,21482,0,0.01,53988.43930635838,10509.160000000003,69086.84,471.9046448087431
1990-08-01,80900,91221.19591520666,146.8,1990,0.39790000000000003,0.39790000000000003,0.39790000000000003,0,0,21482,0,0.01,53988.43930635838,10708.110000000004,69382.89,472.6354904632152
1990-09-01,82200,91829.6145447054,146.8,1990,0.39790000000000003,0.39790000000000003,0.39790000000000003,0,0,21482,0,0.01,53988.43930635838,11225.380000000001,70152.62,477.8788828337874
1990-10-01,84200,93484.49441998567,147.2,1990,0.39790000000000003,0.39790000000000003,0.39790000000000003,0,0,21482,0,0.01,53988.43930635838,12021.18,71336.82,484.6251358695653
1990-11-01,86350,97420.57983193277,148.2,1990,0.39790000000000003,0.39790000000000003,0.39790000000000003,0,0,21482,0,0.01,53988.43930635838,12876.665,72609.83499999999,489.94490553306343
1990-12-01,90000,102113.45912002698,148.6,1990,0.39790000000000003,0.39790000000000003,0.39790000000000003,0,0,21482,0,0.01,53988.43930635838,14329,74771,503.1695827725438
1991-01-01,84250,95407.09710743802,149.5,1991,0.39790000000000003,0.39790000000000003,0.39790000000000003,0,0,23376.5,0,0.01,58749.685850716254,10146.575000000004,73260.92499999999,490.03963210702335
1991-02-01,86300,95621.02610261027,150,1991,0.39790000000000003,0.39790000000000003,0.39790000000000003,0,0,23376.5,0,0.01,58749.685850716254,10962.270000000004,74474.73,496.4982
1991-03-01,90000,100523.66874208527,150.3,1991,0.39790000000000003,0.39790000000000003,0.39790000000000003,0,0,23376.5,0,0.01,58749.685850716254,12434.5,76665.5,510.08316699933465
